gestion_id,folio,cliente_id,ejecutivo,fecha,tipo,resultado,observacion
76,10015,C014,María González,2024-10-20,Carta,Promesa de pago,
77,10015,C014,María González,2023-04-16,WhatsApp,Sin respuesta,Promete pago al 15 del mes
78,10015,C014,María González,2023-07-28,Visita,No contesta,Solicita plazo adicional de 30 días
79,10015,C014,María González,2024-11-04,WhatsApp,Sin respuesta,No se pudo contactar
80,10016,C015,Andrés Torres,2025-02-24,Llamada,Promesa de pago,Cliente informó quiebra inminente
81,10016,C015,Andrés Torres,2025-01-16,Carta,Acuerdo firmado,
82,10017,C015,Carlos Rojas,2025-01-21,Email,Promesa de pago,Promete pago al 15 del mes
83,10017,C015,Carlos Rojas,2025-01-28,WhatsApp,Sin respuesta,Promete pago al 15 del mes
84,10017,C015,Carlos Rojas,2025-01-21,Visita,Promesa de pago,"Disputa factura, enviada a revisión"
85,10017,C015,Carlos Rojas,2025-01-22,Visita,Promesa de pago,Cliente informó quiebra inminente
86,10017,C015,Carlos Rojas,2025-01-20,Carta,Promesa de pago,Acuerdo de cuotas establecido
87,10017,C015,Carlos Rojas,2025-02-05,Visita,Número equivocado,No se pudo contactar
88,10017,C015,Carlos Rojas,2025-02-02,Email,Promesa de pago,
89,10017,C015,Carlos Rojas,2025-02-08,Carta,Número equivocado,Promete pago al 15 del mes
90,10018,C012,Andrés Torres,2024-11-14,Visita,No contesta,Promete pago al 15 del mes
91,10018,C012,Andrés Torres,2025-01-29,WhatsApp,Promesa de pago,Cliente indica que pagará fin de mes
92,10019,C007,Carlos Rojas,2024-03-25,Carta,Número equivocado,Promete pago al 15 del mes
93,10019,C007,Carlos Rojas,2024-04-30,WhatsApp,Sin respuesta,Cliente indica que pagará fin de mes
94,10019,C007,Carlos Rojas,2024-05-19,Email,No contesta,Cliente indica que pagará fin de mes
95,10020,C008,Carlos Rojas,2023-06-07,Visita,Contactado,Cliente informó quiebra inminente
96,10020,C008,Carlos Rojas,2023-11-24,Carta,Promesa de pago,
97,10020,C008,Carlos Rojas,2024-10-03,Visita,Número equivocado,No se pudo contactar
98,10020,C008,Carlos Rojas,2023-06-05,Email,Promesa de pago,
99,10022,C010,María González,2024-08-08,Visita,Sin respuesta,Cliente informó quiebra inminente
100,10022,C010,María González,2024-09-20,Email,Promesa de pago,No se pudo contactar
101,10022,C010,María González,2024-09-04,Llamada,Acuerdo firmado,Cliente indica que pagará fin de mes
102,10022,C010,María González,2024-08-04,WhatsApp,No contesta,"Disputa factura, enviada a revisión"
103,10022,C010,María González,2024-12-06,Email,Número equivocado,"Disputa factura, enviada a revisión"
104,10022,C010,María González,2024-08-31,Visita,Sin respuesta,Cliente indica que pagará fin de mes
105,10022,C010,María González,2025-01-31,Llamada,Acuerdo firmado,Solicita plazo adicional de 30 días
106,10022,C010,María González,2024-12-06,Email,Sin respuesta,Cliente indica que pagará fin de mes
107,10023,C011,Paola Muñoz,2024-11-05,WhatsApp,Promesa de pago,Acuerdo de cuotas establecido
108,10023,C011,Paola Muñoz,2024-12-19,Visita,Promesa de pago,
109,10023,C011,Paola Muñoz,2024-11-05,Email,Acuerdo firmado,Acuerdo de cuotas establecido
110,10023,C011,Paola Muñoz,2025-02-22,WhatsApp,Sin respuesta,Promete pago al 15 del mes
111,10024,C005,Paola Muñoz,2024-05-09,WhatsApp,Número equivocado,Cliente informó quiebra inminente
112,10024,C005,Paola Muñoz,2025-02-17,WhatsApp,Sin respuesta,Acuerdo de cuotas establecido
113,10025,C013,Paola Muñoz,2023-11-20,Visita,Contactado,Cliente informó quiebra inminente
114,10025,C013,Paola Muñoz,2024-05-11,Carta,Promesa de pago,Acuerdo de cuotas establecido
115,10025,C013,Paola Muñoz,2024-06-02,Email,No contesta,"Disputa factura, enviada a revisión"
116,10025,C013,Paola Muñoz,2023-09-29,WhatsApp,Acuerdo firmado,Cliente informó quiebra inminente
117,10025,C013,Paola Muñoz,2023-12-23,Llamada,Número equivocado,
118,10026,C010,Carlos Rojas,2024-05-29,Visita,Acuerdo firmado,Promete pago al 15 del mes
119,10026,C010,Carlos Rojas,2023-10-13,WhatsApp,Número equivocado,"Disputa factura, enviada a revisión"
120,10026,C010,Carlos Rojas,2024-08-23,Email,Número equivocado,
121,10026,C010,Carlos Rojas,2024-09-08,WhatsApp,Promesa de pago,Solicita plazo adicional de 30 días
122,10026,C010,Carlos Rojas,2024-03-10,Carta,Contactado,
123,10027,C013,Andrés Torres,2025-02-02,Carta,Número equivocado,Solicita plazo adicional de 30 días
124,10027,C013,Andrés Torres,2025-01-18,Carta,Número equivocado,No se pudo contactar
125,10027,C013,Andrés Torres,2024-09-22,Carta,No contesta,Acuerdo de cuotas establecido
126,10028,C002,Carlos Rojas,2024-08-24,Carta,Promesa de pago,Acuerdo de cuotas establecido
127,10028,C002,Carlos Rojas,2024-10-31,Llamada,Acuerdo firmado,Cliente indica que pagará fin de mes
128,10028,C002,Carlos Rojas,2025-01-26,WhatsApp,Sin respuesta,No se pudo contactar
129,10028,C002,Carlos Rojas,2024-11-04,Email,Sin respuesta,No se pudo contactar
130,10028,C002,Carlos Rojas,2025-02-19,Visita,Sin respuesta,Acuerdo de cuotas establecido
131,10028,C002,Carlos Rojas,2024-10-05,Llamada,No contesta,Solicita plazo adicional de 30 días
132,10028,C002,Carlos Rojas,2024-06-18,Carta,Acuerdo firmado,
133,10029,C002,Valentina Soto,2024-05-16,Email,Contactado,
134,10029,C002,Valentina Soto,2024-06-02,Email,Promesa de pago,Cliente indica que pagará fin de mes
135,10029,C002,Valentina Soto,2023-07-02,Visita,Promesa de pago,"Disputa factura, enviada a revisión"
136,10030,C003,Carlos Rojas,2025-02-23,Email,Acuerdo firmado,No se pudo contactar
137,10030,C003,Carlos Rojas,2025-02-09,WhatsApp,Acuerdo firmado,Promete pago al 15 del mes
138,10030,C003,Carlos Rojas,2025-02-17,Visita,Acuerdo firmado,Promete pago al 15 del mes
139,10032,C012,Paola Muñoz,2024-03-05,WhatsApp,No contesta,Cliente informó quiebra inminente
140,10033,C015,Carlos Rojas,2024-12-03,WhatsApp,No contesta,Cliente indica que pagará fin de mes
141,10034,C006,María González,2024-12-09,Email,No contesta,Cliente informó quiebra inminente
142,10035,C012,María González,2024-11-24,Llamada,Acuerdo firmado,Acuerdo de cuotas establecido
143,10035,C012,María González,2024-11-29,Llamada,Contactado,Acuerdo de cuotas establecido
144,10035,C012,María González,2024-12-15,Visita,Número equivocado,Cliente informó quiebra inminente
145,10035,C012,María González,2025-01-02,Email,Promesa de pago,
146,10035,C012,María González,2024-12-23,Email,No contesta,Promete pago al 15 del mes
147,10036,C002,Andrés Torres,2024-09-22,Email,Número equivocado,Solicita plazo adicional de 30 días
148,10037,C009,Andrés Torres,2023-09-06,WhatsApp,Sin respuesta,Solicita plazo adicional de 30 días
149,10037,C009,Andrés Torres,2023-12-19,Carta,Número equivocado,Cliente indica que pagará fin de mes
150,10037,C009,Andrés Torres,2024-09-02,Carta,Sin respuesta,Cliente indica que pagará fin de mes
151,10037,C009,Andrés Torres,2023-10-03,Llamada,Número equivocado,Cliente indica que pagará fin de mes
152,10038,C004,Paola Muñoz,2023-09-03,Visita,Acuerdo firmado,Promete pago al 15 del mes
153,10039,C007,María González,2025-02-28,Carta,Acuerdo firmado,Solicita plazo adicional de 30 días
154,10039,C007,María González,2024-09-06,Llamada,Promesa de pago,Promete pago al 15 del mes
155,10041,C004,Carlos Rojas,2024-09-16,WhatsApp,Promesa de pago,Solicita plazo adicional de 30 días
156,10041,C004,Carlos Rojas,2024-05-14,Llamada,Sin respuesta,No se pudo contactar
157,10042,C008,Valentina Soto,2023-12-11,Llamada,Acuerdo firmado,"Disputa factura, enviada a revisión"
158,10042,C008,Valentina Soto,2024-08-20,Email,Promesa de pago,"Disputa factura, enviada a revisión"
159,10042,C008,Valentina Soto,2024-04-14,Visita,Promesa de pago,Solicita plazo adicional de 30 días
160,10042,C008,Valentina Soto,2023-11-03,WhatsApp,Acuerdo firmado,"Disputa factura, enviada a revisión"
161,10042,C008,Valentina Soto,2024-09-30,Visita,Promesa de pago,"Disputa factura, enviada a revisión"
162,10043,C001,Carlos Rojas,2024-11-30,Llamada,Contactado,
163,10044,C007,Andrés Torres,2024-09-03,WhatsApp,Contactado,No se pudo contactar
164,10044,C007,Andrés Torres,2024-10-15,Email,Acuerdo firmado,Acuerdo de cuotas establecido
165,10044,C007,Andrés Torres,2024-10-17,Visita,Contactado,No se pudo contactar
166,10045,C003,Paola Muñoz,2024-03-15,Carta,Promesa de pago,Cliente informó quiebra inminente
167,10045,C003,Paola Muñoz,2024-09-29,Llamada,Contactado,Cliente indica que pagará fin de mes
168,10045,C003,Paola Muñoz,2024-02-28,Email,Número equivocado,Solicita plazo adicional de 30 días
169,10046,C005,Paola Muñoz,2024-12-08,Visita,Sin respuesta,Acuerdo de cuotas establecido
170,10046,C005,Paola Muñoz,2024-07-25,Carta,Promesa de pago,Solicita plazo adicional de 30 días
171,10046,C005,Paola Muñoz,2024-08-05,Visita,Acuerdo firmado,
172,10046,C005,Paola Muñoz,2024-10-25,Visita,Número equivocado,
173,10046,C005,Paola Muñoz,2025-01-09,Email,Contactado,Solicita plazo adicional de 30 días
174,10046,C005,Paola Muñoz,2024-07-08,Email,Contactado,Promete pago al 15 del mes
175,10047,C001,María González,2025-02-08,Visita,No contesta,Promete pago al 15 del mes
176,10047,C001,María González,2024-12-16,WhatsApp,Contactado,Solicita plazo adicional de 30 días
177,10047,C001,María González,2025-01-17,Visita,Contactado,Promete pago al 15 del mes
178,10047,C001,María González,2025-01-06,Llamada,Contactado,Acuerdo de cuotas establecido
179,10047,C001,María González,2024-12-05,Llamada,Número equivocado,"Disputa factura, enviada a revisión"
180,10047,C001,María González,2024-12-11,WhatsApp,Sin respuesta,No se pudo contactar
181,10047,C001,María González,2025-01-04,Email,Acuerdo firmado,Cliente informó quiebra inminente
182,10047,C001,María González,2025-02-27,Visita,No contesta,Cliente indica que pagará fin de mes
183,10048,C010,Valentina Soto,2024-09-06,WhatsApp,Acuerdo firmado,
184,10049,C014,Carlos Rojas,2023-10-25,Visita,Promesa de pago,"Disputa factura, enviada a revisión"
185,10049,C014,Carlos Rojas,2024-07-13,Carta,Contactado,"Disputa factura, enviada a revisión"
186,10049,C014,Carlos Rojas,2025-02-23,Visita,Acuerdo firmado,"Disputa factura, enviada a revisión"
187,10050,C002,María González,2025-01-16,Visita,Sin respuesta,
188,10050,C002,María González,2024-10-13,Visita,Acuerdo firmado,Cliente informó quiebra inminente
189,10051,C002,Carlos Rojas,2025-01-14,Llamada,Contactado,Promete pago al 15 del mes
190,10051,C002,Carlos Rojas,2024-12-02,Llamada,Sin respuesta,Cliente indica que pagará fin de mes
191,10052,C004,Paola Muñoz,2025-02-06,WhatsApp,Sin respuesta,Acuerdo de cuotas establecido
192,10052,C004,Paola Muñoz,2024-09-14,WhatsApp,No contesta,
193,10054,C010,Carlos Rojas,2024-12-01,Llamada,No contesta,
194,10054,C010,Carlos Rojas,2024-11-22,WhatsApp,Sin respuesta,
195,10054,C010,Carlos Rojas,2025-03-01,Carta,Número equivocado,
196,10054,C010,Carlos Rojas,2024-09-28,Llamada,Número equivocado,"Disputa factura, enviada a revisión"
197,10054,C010,Carlos Rojas,2024-08-30,Carta,Promesa de pago,Acuerdo de cuotas establecido
198,10054,C010,Carlos Rojas,2025-01-17,WhatsApp,Promesa de pago,No se pudo contactar
199,10055,C005,Carlos Rojas,2023-12-31,Visita,No contesta,Promete pago al 15 del mes
200,10056,C005,Paola Muñoz,2024-05-27,WhatsApp,No contesta,"Disputa factura, enviada a revisión"
201,10056,C005,Paola Muñoz,2024-01-11,Visita,No contesta,
202,10057,C013,Valentina Soto,2025-01-13,Llamada,Acuerdo firmado,Cliente indica que pagará fin de mes
203,10057,C013,Valentina Soto,2025-02-20,WhatsApp,Contactado,
204,10057,C013,Valentina Soto,2025-01-28,WhatsApp,Sin respuesta,Solicita plazo adicional de 30 días
205,10057,C013,Valentina Soto,2025-02-02,Llamada,Sin respuesta,Cliente indica que pagará fin de mes
206,10059,C002,Valentina Soto,2025-01-24,Visita,Sin respuesta,Solicita plazo adicional de 30 días
207,10059,C002,Valentina Soto,2025-01-17,Email,Número equivocado,Solicita plazo adicional de 30 días
208,10059,C002,Valentina Soto,2023-09-19,Visita,Número equivocado,Cliente informó quiebra inminente
209,10059,C002,Valentina Soto,2024-11-02,Visita,Acuerdo firmado,"Disputa factura, enviada a revisión"
210,10059,C002,Valentina Soto,2024-03-11,Visita,Promesa de pago,Acuerdo de cuotas establecido
211,10059,C002,Valentina Soto,2024-09-10,Email,No contesta,Promete pago al 15 del mes
212,10059,C002,Valentina Soto,2025-02-10,WhatsApp,Promesa de pago,Cliente informó quiebra inminente
213,10060,C012,Paola Muñoz,2024-05-14,Email,Sin respuesta,Acuerdo de cuotas establecido
214,10060,C012,Paola Muñoz,2025-01-18,Carta,Número equivocado,Solicita plazo adicional de 30 días
215,10060,C012,Paola Muñoz,2025-01-30,Email,Sin respuesta,Cliente informó quiebra inminente
216,10060,C012,Paola Muñoz,2025-01-30,Llamada,Promesa de pago,
217,10061,C008,Andrés Torres,2024-09-25,WhatsApp,Promesa de pago,Promete pago al 15 del mes
218,10061,C008,Andrés Torres,2024-12-02,Llamada,Sin respuesta,No se pudo contactar
219,10061,C008,Andrés Torres,2023-10-28,Visita,No contesta,Cliente indica que pagará fin de mes
220,10061,C008,Andrés Torres,2024-09-23,Llamada,No contesta,Acuerdo de cuotas establecido
221,10061,C008,Andrés Torres,2024-11-03,Email,Promesa de pago,Acuerdo de cuotas establecido
222,10061,C008,Andrés Torres,2023-12-29,Llamada,Número equivocado,Acuerdo de cuotas establecido
223,10061,C008,Andrés Torres,2024-01-28,WhatsApp,Contactado,Cliente informó quiebra inminente
224,10062,C001,Paola Muñoz,2023-06-18,WhatsApp,Número equivocado,"Disputa factura, enviada a revisión"
225,10062,C001,Paola Muñoz,2024-12-27,WhatsApp,Acuerdo firmado,"Disputa factura, enviada a revisión"
226,10062,C001,Paola Muñoz,2024-08-10,Carta,Número equivocado,Cliente indica que pagará fin de mes
227,10062,C001,Paola Muñoz,2024-03-30,Visita,Acuerdo firmado,Cliente informó quiebra inminente
228,10062,C001,Paola Muñoz,2024-09-21,Llamada,Contactado,Acuerdo de cuotas establecido
229,10062,C001,Paola Muñoz,2023-09-29,WhatsApp,Acuerdo firmado,"Disputa factura, enviada a revisión"
230,10062,C001,Paola Muñoz,2024-12-13,Carta,Sin respuesta,"Disputa factura, enviada a revisión"
231,10062,C001,Paola Muñoz,2023-09-20,Carta,Acuerdo firmado,Solicita plazo adicional de 30 días
232,10063,C012,María González,2024-08-13,Email,Número equivocado,No se pudo contactar
233,10063,C012,María González,2024-10-01,Llamada,Acuerdo firmado,Acuerdo de cuotas establecido
234,10064,C015,Paola Muñoz,2025-01-31,Email,Sin respuesta,Acuerdo de cuotas establecido
235,10064,C015,Paola Muñoz,2025-01-23,Carta,Acuerdo firmado,Solicita plazo adicional de 30 días
236,10064,C015,Paola Muñoz,2025-01-25,Email,Promesa de pago,Cliente indica que pagará fin de mes
237,10064,C015,Paola Muñoz,2025-02-11,Visita,Sin respuesta,Cliente informó quiebra inminente
238,10064,C015,Paola Muñoz,2025-01-27,Carta,Sin respuesta,"Disputa factura, enviada a revisión"
239,10065,C009,Paola Muñoz,2025-02-14,Llamada,Sin respuesta,Solicita plazo adicional de 30 días
240,10065,C009,Paola Muñoz,2024-10-29,WhatsApp,Sin respuesta,Promete pago al 15 del mes
241,10065,C009,Paola Muñoz,2023-12-03,Carta,No contesta,"Disputa factura, enviada a revisión"
242,10066,C015,Carlos Rojas,2024-03-16,Carta,Promesa de pago,"Disputa factura, enviada a revisión"
243,10066,C015,Carlos Rojas,2025-01-04,WhatsApp,Acuerdo firmado,Cliente indica que pagará fin de mes
244,10066,C015,Carlos Rojas,2023-08-07,Carta,Acuerdo firmado,"Disputa factura, enviada a revisión"
245,10066,C015,Carlos Rojas,2025-01-28,WhatsApp,Sin respuesta,"Disputa factura, enviada a revisión"
246,10066,C015,Carlos Rojas,2023-05-22,Carta,Acuerdo firmado,No se pudo contactar
247,10066,C015,Carlos Rojas,2024-05-11,Carta,Sin respuesta,Acuerdo de cuotas establecido
248,10067,C006,Carlos Rojas,2025-02-19,WhatsApp,Promesa de pago,
249,10068,C014,María González,2023-09-14,Carta,Número equivocado,"Disputa factura, enviada a revisión"
250,10068,C014,María González,2024-06-24,WhatsApp,Contactado,No se pudo contactar
251,10068,C014,María González,2024-01-19,WhatsApp,Sin respuesta,Cliente indica que pagará fin de mes
252,10068,C014,María González,2023-10-07,Email,Número equivocado,"Disputa factura, enviada a revisión"
253,10068,C014,María González,2024-10-08,Llamada,No contesta,Promete pago al 15 del mes
254,10068,C014,María González,2023-10-13,Email,Contactado,
255,10068,C014,María González,2024-07-05,Llamada,Contactado,No se pudo contactar
256,10068,C014,María González,2023-09-25,Email,Promesa de pago,No se pudo contactar
257,10069,C012,Carlos Rojas,2024-07-17,Visita,Acuerdo firmado,
258,10069,C012,Carlos Rojas,2025-01-23,Visita,Acuerdo firmado,Cliente informó quiebra inminente
259,10069,C012,Carlos Rojas,2024-03-15,Visita,Número equivocado,No se pudo contactar
260,10069,C012,Carlos Rojas,2024-12-05,Llamada,Número equivocado,No se pudo contactar
261,10070,C003,María González,2025-01-23,Carta,Sin respuesta,No se pudo contactar
262,10071,C004,Carlos Rojas,2024-11-28,Carta,Sin respuesta,No se pudo contactar
263,10071,C004,Carlos Rojas,2024-03-15,Visita,Acuerdo firmado,Promete pago al 15 del mes
264,10071,C004,Carlos Rojas,2024-12-16,Llamada,Acuerdo firmado,Solicita plazo adicional de 30 días
265,10071,C004,Carlos Rojas,2024-07-22,Email,No contesta,Promete pago al 15 del mes
266,10071,C004,Carlos Rojas,2024-12-03,WhatsApp,Promesa de pago,Solicita plazo adicional de 30 días
267,10072,C001,Paola Muñoz,2025-02-07,Llamada,Sin respuesta,Solicita plazo adicional de 30 días
268,10072,C001,Paola Muñoz,2025-01-06,Llamada,Contactado,Promete pago al 15 del mes
269,10072,C001,Paola Muñoz,2025-02-28,WhatsApp,Contactado,Acuerdo de cuotas establecido
270,10072,C001,Paola Muñoz,2025-01-17,Carta,No contesta,Promete pago al 15 del mes
271,10072,C001,Paola Muñoz,2025-02-25,Email,No contesta,Solicita plazo adicional de 30 días
272,10073,C013,Andrés Torres,2024-10-23,Carta,No contesta,No se pudo contactar
273,10073,C013,Andrés Torres,2024-03-14,WhatsApp,Contactado,
274,10073,C013,Andrés Torres,2024-11-07,WhatsApp,Contactado,Acuerdo de cuotas establecido
275,10073,C013,Andrés Torres,2024-11-20,Llamada,Promesa de pago,No se pudo contactar
276,10074,C006,Paola Muñoz,2024-10-15,Visita,Promesa de pago,Cliente informó quiebra inminente
277,10074,C006,Paola Muñoz,2023-07-10,Email,Contactado,Acuerdo de cuotas establecido
278,10074,C006,Paola Muñoz,2024-11-24,Llamada,No contesta,Cliente informó quiebra inminente
279,10074,C006,Paola Muñoz,2024-07-10,Visita,Promesa de pago,Acuerdo de cuotas establecido
280,10075,C010,Andrés Torres,2024-08-14,WhatsApp,Promesa de pago,Cliente informó quiebra inminente
281,10075,C010,Andrés Torres,2024-06-05,Email,Contactado,Cliente informó quiebra inminente
282,10075,C010,Andrés Torres,2024-03-04,Email,Número equivocado,Promete pago al 15 del mes
283,10076,C012,Valentina Soto,2024-08-19,Email,Número equivocado,Cliente informó quiebra inminente
284,10076,C012,Valentina Soto,2024-10-19,Visita,Acuerdo firmado,Cliente informó quiebra inminente
285,10076,C012,Valentina Soto,2024-07-22,Visita,Sin respuesta,No se pudo contactar
286,10076,C012,Valentina Soto,2024-05-16,WhatsApp,Contactado,Acuerdo de cuotas establecido
287,10076,C012,Valentina Soto,2024-04-28,WhatsApp,No contesta,Acuerdo de cuotas establecido
288,10077,C007,Andrés Torres,2024-10-17,Llamada,Sin respuesta,Cliente indica que pagará fin de mes
289,10077,C007,Andrés Torres,2025-02-23,WhatsApp,Acuerdo firmado,"Disputa factura, enviada a revisión"
290,10078,C009,María González,2025-01-08,Carta,Sin respuesta,
291,10079,C010,Paola Muñoz,2024-06-23,Visita,No contesta,Acuerdo de cuotas establecido
292,10079,C010,Paola Muñoz,2024-02-25,Visita,Sin respuesta,No se pudo contactar
293,10079,C010,Paola Muñoz,2024-07-09,Carta,Sin respuesta,Cliente indica que pagará fin de mes
294,10081,C003,Andrés Torres,2024-12-22,WhatsApp,Número equivocado,Solicita plazo adicional de 30 días
295,10081,C003,Andrés Torres,2024-11-05,WhatsApp,No contesta,
296,10081,C003,Andrés Torres,2024-01-04,Email,Sin respuesta,Solicita plazo adicional de 30 días
